MUNICIPIO;QUANTIDADE
221080 Simplício Mendes;24
221090 Socorro do Piauí;7
221093 Sussuapara;8
221095 Tamboril do Piauí;5
221097 Tanque do Piauí;8
221100 Teresina;1087
221110 União;34
221120 Uruçuí;26
221130 Valença do Piauí;42
221135 Várzea Branca;3
221140 Várzea Grande;5
221150 Vera Mendes;6
221160 Vila Nova do Piauí;7
221170 Wall Ferraz;9
230010 Abaiara;11
230015 Acarape;22
230020 Acaraú;48
230030 Acopiara;34
230040 Aiuaba;11
230050 Alcântaras;12
230060 Altaneira;8
230070 Alto Santo;37
230075 Amontada;18
230080 Antonina do Norte;8
230090 Apuiarés;11
230100 Aquiraz;58
230110 Aracati;77
230120 Aracoiaba;28
230125 Ararendá;12
230130 Araripe;19
230140 Aratuba;14
230150 Arneiroz;8
230160 Assaré;24
230170 Aurora;23
230180 Baixio;6
230185 Banabuiú;17
230190 Barbalha;91
230195 Barreira;17
230200 Barro;22
230205 Barroquinha;13
230210 Baturité;46
230220 Beberibe;27
230230 Bela Cruz;26
230240 Boa Viagem;38
230250 Brejo Santo;92
230260 Camocim;47
230270 Campos Sales;30
230280 Canindé;58
230290 Capistrano;18
230300 Caridade;12
230310 Cariré;19
230320 Caririaçu;23
230330 Cariús;20
230340 Carnaubal;33
230350 Cascavel;36
230360 Catarina;15
230365 Catunda;11
230370 Caucaia;163
230380 Cedro;26
230390 Chaval;12
230393 Choró;16
230395 Chorozinho;21
230400 Coreaú;17
230410 Crateús;75
230420 Crato;201
230423 Croatá;20
230425 Cruz;23
230426 Deputado Irapuan Pinheiro;17
230427 Ererê;6
230428 Eusébio;79
230430 Farias Brito;32
230435 Forquilha;21
230440 Fortaleza;5983
230445 Fortim;12
230450 Frecheirinha;12
230460 General Sampaio;13
230465 Graça;14
230470 Granja;30
230480 Granjeiro;8
230490 Groaíras;11
230495 Guaiúba;17
230500 Guaraciaba do Norte;37
230510 Guaramiranga;7
230520 Hidrolândia;13
230523 Horizonte;43
230526 Ibaretama;15
230530 Ibiapina;27
230533 Ibicuitinga;15
230535 Icapuí;16
230540 Icó;63
230550 Iguatu;132
230560 Independência;29
230565 Ipaporanga;14
230570 Ipaumirim;7
230580 Ipu;39
230590 Ipueiras;20
230600 Iracema;17
230610 Irauçuba;20
230620 Itaiçaba;8
230625 Itaitinga;28
230630 Itapagé;37
230640 Itapipoca;122
230650 Itapiúna;13
230655 Itarema;28
230660 Itatira;18
230670 Jaguaretama;16
230680 Jaguaribara;10
230690 Jaguaribe;43
230700 Jaguaruana;47
230710 Jardim;21
230720 Jati;14
230725 Jijoca de Jericoacoara;15
230730 Juazeiro do Norte;455
230740 Jucás;17
230750 Lavras da Mangabeira;25
230760 Limoeiro do Norte;109
230763 Madalena;13
230765 Maracanaú;202
230770 Maranguape;65
230780 Marco;20
230790 Martinópole;10
230800 Massapê;18
230810 Mauriti;52
